Date,high,low,open,close,volume,median,signal,sorting,slowk,slowd,SMA,SAR,macd,macdsignal,macdhist,upperband,middleband,lowerband,HT_TRENDLINE,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2015-03-23,277.2969970703125,261.7449951171875,267.8949890136719,266.739990234375,22811900,269.52099609375,2,81,47.28812109141737,36.8118751079032,274.9514807128906,291.4469111101141,2.0187713004045804,5.79509080231983,-3.77631950191525,269.9391241483335,263.4803955078125,257.02166686729146,268.7421709994612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2015-03-24,267.00299072265625,244.15499877929688,266.5769958496094,245.59500122070312,40073700,255.57899475097656,1,82,40.05494009487307,41.062508217943986,274.6221606445313,289.7344747291861,-0.12474437840842256,4.611123766174179,-4.735868144582602,276.37615958299733,260.4137939453125,244.45142830762762,269.4510788332183,0,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,249.19000244140625,236.51499938964844,247.4720001220703,246.19700622558594,35866900,242.85250091552734,2,83,30.417258913472747,39.25344003325441,274.2995208740234,286.99970617219276,-1.7546922246284566,3.337960568013652,-5.092652792642109,276.7035581454987,257.3033966064453,237.9032350673919,269.9969178824589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2015-03-26,254.35400390625,244.90499877929688,246.2760009765625,248.53199768066406,25730000,249.62950134277344,2,84,19.184086826848965,29.88542861173161,273.8327209472656,282.9609296295892,-2.8254532732603934,2.1052777997588428,-4.930731073019237,275.2743881747274,255.00479736328126,234.73520655183512,269.93582154723424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2015-03-27,256.8110046386719,245.21299743652344,248.5659942626953,247.0290069580078,17274900,251.01200103759766,2,85,26.329438254881154,25.310261331734306,272.68708068847656,279.24525521039396,-3.752066422876055,0.9338089552318631,-4.6858753781079185,266.86167612431836,250.8186004638672,234.77552480341606,270.3818742528455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2015-03-28,254.2050018310547,246.97500610351562,246.97500610351562,252.79800415039062,16040900,250.59000396728516,2,86,36.21845319036935,27.24399275736651,271.53092102050783,275.8268347447343,-3.975081890300828,-0.04796921387467523,-3.9271126764261526,253.1898107782913,248.03020324707032,242.87059571584933,270.69016829567397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2015-03-29,253.13900756835938,240.85000610351562,252.74000549316406,242.71299743652344,21699400,246.9945068359375,1,87,36.575650115909546,33.041180520386696,270.31576049804687,272.6818879163274,-4.909010989927282,-1.0201775690851966,-3.888833420842085,254.0239298500578,247.45380249023438,240.88367513041095,270.7422656916476,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,249.24200439453125,239.21400451660156,242.87899780273438,247.5260009765625,23009600,244.2280044555664,2,88,43.72708409192237,38.84039579940043,269.16968017578125,269.7885368341931,-5.2008353754443135,-1.8563091303570198,-3.3445262450872937,254.17130802187714,247.7196014404297,241.26789485898226,270.5881941696693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,248.72999572753906,242.73899841308594,247.45399475097656,244.2239990234375,22672000,245.7344970703125,2,89,35.41468464544912,38.57247295109369,268.0297204589844,267.1266538386295,-5.63361149852949,-2.611769603991514,-3.021841894537976,253.77916492837375,246.85800170898438,239.936838489595,269.94011814512055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2015-03-31,247.54100036621094,241.16000366210938,244.22300720214844,247.27200317382812,22877200,244.35050201416016,2,90,43.152762142922576,40.764843626764694,266.8701611328125,264.67772148271104,-5.665334779564716,-3.2224826391061545,-2.442852140458562,253.83529320233845,246.90660095214844,239.97790870195843,269.0126698461072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
